id;name_custumer;adress;phone;email
1;ci délectable;bouger;+33 358355815;Francois_Olivier25@gmail.com
2;diplomate;à l'égard de;0454835600;Agathon62@yahoo.fr
3;personnel;clac;+33 110115100;Fantine.Julien@gmail.com
4;joliment;à seule fin de;+33 753431210;Lucien.Francois30@hotmail.fr
5;ding comme;efficace vers former;0747319744;Xaviere_Dupont45@gmail.com
6;responsable;au moyen de;0204232037;Audran.Caron@gmail.com
7;moins ferme frayer;foule personnel professionnel oups;+33 604902750;Gregoire_Michel78@hotmail.fr
8;avant que innombrable;lunatique lorsque en decà de;+33 445358660;Achaire.Marchal@gmail.com
9;au lieu de;diplomate diplomate recommencer;0397886690;Olympe87@gmail.com
10;areu areu athlète;porte-parole;0157583204;Leandre_Meunier@hotmail.fr
