id;company_name;company_neq_number;is_thistax_exempt_organization;resource_person;address;email;phone
1;tsoin-tsoin trop peu venir;gai tard tchou tchouu;false;couler rédaction tellement;susciter prout;Savin_Rousseau@gmail.com;+33 385449148
2;du fait que;ouah;false;recta saigner;minuscule marron répéter;Mederic_Morin@gmail.com;+33 138893431
3;quand de manière à ce que;ça infime;true;gêner ferme gestionnaire;antagoniste atchoum ouille;Elisee_Dupuis@hotmail.fr;0727158843
4;apte ouf oh;sursauter;true;à défaut de  dès que davantage;assez puisque raide;Adelphe_Nicolas@yahoo.fr;+33 587906162
5;si;à raison de également;false;terriblement;membre de l’équipe chez;Bartimee_Moulin37@hotmail.fr;0643000047
6;du fait que triangulaire;prévaloir maigre;true;pas mal psitt quoique;administration;Agathange.Robert38@hotmail.fr;+33 185206079
7;revenir propre;un peu durant sans que;false;svelte paf ouch;lunatique;Constant85@hotmail.fr;+33 192731171
8;contre;toc-toc;true;apprivoiser;marron nonobstant;Eusebe_Marchal97@yahoo.fr;+33 142692781
9;parmi diététiste;au dépens de;true;en dedans de intrépide;drelin rêver;Joel_Faure91@hotmail.fr;+33 717618435
10;corps enseignant certes badaboum;lunatique;false;assurément;sitôt que membre titulaire fade;Matthieu.Boyer35@hotmail.fr;+33 298602813
