id;name_custumer;adress;phone;email
1;à l'insu de;camarade pschitt;0119727865;Faustine.Duval6@gmail.com
2;euh sympathique;ferme;0167735500;Oger11@yahoo.fr
3;au cas où;décoller plic;0717419515;Almire_Poirier@hotmail.fr
4;gestionnaire sitôt de crainte que;malgré;+33 670475018;Blanche78@yahoo.fr
5;smack hystérique;psitt coin-coin;0581247799;Adelie_Morel@gmail.com
6;ouch;nettoyer tsoin-tsoin;0378202938;Abel88@gmail.com
7;de crainte que sitôt que mélancolique;comme;+33 661212903;Elodie.Fernandez40@yahoo.fr
8;naguère rapporter;population du Québec tandis que derechef;0755163774;Eve_Vasseur@hotmail.fr
9;en dehors de;entre obliger;+33 439860113;Audouin.Robin32@gmail.com
10;bûcher;concurrence multiple;+33 538284867;Marion_Perrin51@yahoo.fr
